"Location","Type","Range","F4","F5","Total Buses"
"Malvern","Orion Hybrid Bus ","1500-1689","Total Buses: 39","39","39"
"","Nova 40' Bus","3180-3329","Total Buses: 28","28","28"
"","Nova 40' Hybrid Bus","3400-3454","Total Buses: 55","55","55"
"","Nova 40' Hybrid Bus","3455-3569","Total Buses: 35","35","35"
"","Nova 40' Hybrid Bus","3570-3654","Total Buses: 8","8","8"
"","New Flyer 40' Electric Bus","","Total Buses: 8","8","8"
"","Nova Artic Bus ","9027-9152","Total Buses: 37","37","37"
"McNicoll","Nova 40' Bus","3100-3179","Total Buses: 80","80","80"
"","Nova 40' Bus","3180-3329","Total Buses: 76","76","76"
"","New Flyer 40' Electric Bus","","Total Buses: 4","4","4"
"","Nova Artic Bus ","9000-9026","Total Buses: 4","4","4"
"","Nova Artic Bus ","9027-9152","Total Buses: 48","48","48"
"","Nova 40' Bus","9200-9239","Total Buses: 40","40","40"
"","New Flyer 60' Hybrid","","Total Buses: 6","6","6"
"Birchmount","New Flyer Electric Bus","3700-3724","Total Buses: 10","10","10"
"","New Flyer 40' Electric Bus","","Total Buses: 8","8","8"
"","Nova 40' Bus","8400-8454","Total Buses: 55","55","55"
"","Nova 40' Bus","8455-8504","Total Buses: 50","50","50"
"","Nova 40' Bus","8510-8617","Total Buses: 107","107","107"
"","Nova 40' Bus","8920-8964","Total Buses: 9","9","9"
"Eglinton","BYD Electric Bus","3750-3759","Total Buses: 10","10","10"
"","New Flyer 40' Electric Bus","","Total Buses: 14","14","14"
"","Nova 40' Electric Bus","","Total Buses: 3","3","3"
"","Nova 40' Bus","8620-8716","Total Buses: 97","97","97"
"","Nova 40' Bus","8720-8919","Total Buses: 136","136","136"
"","Nova 40' Bus","8920-8964","Total Buses: 8","8","8"
"Mt.Dennis","Orion Hybrid Bus ","1000-1149","Total Buses: 11","11","11"
"","Orion Hybrid Bus ","1200-1423","Total Buses: 34","34","34"
"","Proterra Electric Bus","3725-3734","Total Buses: 10","10","10"
"","Proterra Electric Bus","3735-3749","Total Buses: 15","15","15"
"","New Flyer 40' Electric Bus","","Total Buses: 11","11","11"
"","New Flyer 40' Hybrid","","Total Buses: 134","134","134"
"","New Flyer 60' Hybrid","","Total Buses: 62","62","62"
"Queensway","Nova 40' Bus","3180-3329","Total Buses: 46","46","46"
"","Nova 40' Bus","3330-3369","Total Buses: 40","40","40"
"","Orion 7 Bus ","8100-8219","Total Buses: 56","56","56"
"","Orion 7 Bus ","8300-8334","Total Buses: 31","31","31"
"","Orion 7 Bus ","8335-8396","Total Buses: 34","34","34"
"","Nova 40' Bus","8920-8964","Total Buses: 18","18","18"
"Arrow","Orion Hybrid Bus ","1200-1423","Total Buses: 20","20","20"
"","Nova 40' Hybrid Bus","3455-3569","Total Buses: 23","23","23"
"","Nova 40' Hybrid Bus","3570-3654","Total Buses: 66","66","66"
"","New Flyer Electric Bus","3700-3724","Total Buses: 15","15","15"
"","New Flyer 40' Electric Bus","","Total Buses: 56","56","56"
"","Nova 40' Bus","8720-8919","Total Buses: 64","64","64"
"","Nova 40' Bus","8920-8964","Total Buses: 10","10","10"
"","Nova Artic Bus ","9027-9152","Total Buses: 41","41","41"
"Wilson","Nova 40' Hybrid Bus","3455-3569","Total Buses: 57","57","57"
"","Nova 40' Hybrid Bus","3570-3654","Total Buses: 11","11","11"
"","Nova 40' Hybrid","","Total Buses: 124","124","124"
"","Nova 40' Hybrid","","Total Buses: 10","10","10"
"","Orion 7 Bus ","8335-8396","Total Buses: 28","28","28"
"","Nova Artic Bus ","9000-9026","Total Buses: 22","22","22"
"","","","","","2024"
